%eval_id          Mean1          Mean2         Sigma1         Sigma2      MeanReal1      MeanImag1           Cxx1           Cxy1           Cyy1      MeanReal2      MeanImag2           Cxx2           Cxy2           Cyy2 
      42   0.7745966692  -0.7745966692              1              1       1.000196       0.024498          6e-06         -2e-06          2e-05       1.000196      -0.024498          6e-06          2e-06          2e-05 
      43  -0.7745966692  -0.7745966692              1              1       0.999284       0.059954        2.3e-05          2e-06        5.4e-05       0.999284      -0.059954        2.3e-05         -2e-06        5.4e-05 
      44   0.7745966692   0.7745966692              1              1       0.994811       0.064453        1.7e-05         -6e-06        2.2e-05       0.994811      -0.064453        1.7e-05          6e-06        2.2e-05 
      45  -0.7745966692   0.7745966692              1              1       1.005498       0.040837          3e-06             -0          1e-05       1.005498      -0.040837          3e-06              0          1e-05 
      46   0.4342437493              0              1              1       0.989772       0.084694          2e-05         -9e-06        5.1e-05       0.989772      -0.084694          2e-05          9e-06        5.1e-05 
      47  -0.4342437493              0              1              1       1.003292       0.083081          7e-06         -7e-06        4.5e-05       1.003292      -0.083081          7e-06          7e-06        4.5e-05 
      48   0.9604912687              0              1              1       0.992833       0.055371        1.3e-05         -6e-06        3.1e-05       0.992833      -0.055371        1.3e-05          6e-06        3.1e-05 
      49  -0.9604912687              0              1              1       1.006247       0.058508          3e-06         -1e-06        2.7e-05       1.006247      -0.058508          3e-06          1e-06        2.7e-05 
      50              0  -0.2233866864              1              1       0.993121       0.093604        2.3e-05         -8e-06        6.5e-05       0.993121      -0.093604        2.3e-05          8e-06        6.5e-05 
      51              0   0.2233866864              1              1       0.998792       0.086572        1.2e-05         -9e-06        4.1e-05       0.998792      -0.086572        1.2e-05          9e-06        4.1e-05 
      52              0  -0.6211029467              1              1        0.99737        0.05371        1.2e-05         -1e-06        4.1e-05        0.99737       -0.05371        1.2e-05          1e-06        4.1e-05 
      53              0   0.6211029467              1              1       1.002213       0.061097          8e-06         -4e-06          2e-05       1.002213      -0.061097          8e-06          4e-06          2e-05 
      54              0  -0.8884592329              1              1       0.999424       0.034876          8e-06              0          3e-05       0.999424      -0.034876          8e-06             -0          3e-05 
      55              0   0.8884592329              1              1       1.002942        0.05033          7e-06         -2e-06        1.4e-05       1.002942       -0.05033          7e-06          2e-06        1.4e-05 
      56              0  -0.9938319632              1              1       0.999952       0.029336          7e-06              0        2.9e-05       0.999952      -0.029336          7e-06             -0        2.9e-05 
      57              0   0.9938319632              1              1       1.003097       0.047106          6e-06         -2e-06        1.2e-05       1.003097      -0.047106          6e-06          2e-06        1.2e-05 
      58   0.7745966692  -0.4342437493              1              1       0.997705       0.039014          8e-06         -3e-06        2.5e-05       0.997705      -0.039014          8e-06          3e-06        2.5e-05 
      59   0.7745966692   0.4342437493              1              1       0.990063       0.075262        2.1e-05         -9e-06        3.3e-05       0.990063      -0.075262        2.1e-05          9e-06        3.3e-05 
      60  -0.7745966692  -0.4342437493              1              1       1.002292       0.078004        1.6e-05         -3e-06        5.6e-05       1.002292      -0.078004        1.6e-05          3e-06        5.6e-05 
      61  -0.7745966692   0.4342437493              1              1       1.005861        0.04931          3e-06         -1e-06        1.6e-05       1.005861       -0.04931          3e-06          1e-06        1.6e-05 
      62   0.7745966692  -0.9604912687              1              1       1.000946       0.018247          5e-06         -2e-06        2.3e-05       1.000946      -0.018247          5e-06          2e-06        2.3e-05 
      63  -0.7745966692  -0.9604912687              1              1       0.999082       0.046352          2e-05          3e-06        4.8e-05       0.999082      -0.046352          2e-05         -3e-06        4.8e-05 
      64   0.7745966692   0.9604912687              1              1       0.996919       0.057525        1.4e-05         -5e-06        1.8e-05       0.996919      -0.057525        1.4e-05          5e-06        1.8e-05 
      65  -0.7745966692   0.9604912687              1              1       1.005308       0.037419          3e-06             -0          8e-06       1.005308      -0.037419          3e-06              0          8e-06 
      66              0  -0.4342437493   0.2254033308              1       0.992812       0.070717        1.2e-05         -1e-06        1.6e-05       0.992812      -0.070717        1.2e-05          1e-06        1.6e-05 
      67              0   0.4342437493   0.2254033308              1        0.99925       0.071567          3e-06         -4e-06          1e-05        0.99925      -0.071567          3e-06          4e-06          1e-05 
      68              0  -0.4342437493    1.774596669              1       1.001284        0.07597        3.8e-05          9e-06       0.000161       1.001284       -0.07597        3.8e-05         -9e-06       0.000161 
      69              0   0.4342437493    1.774596669              1       1.005635       0.072084        2.8e-05         -7e-06        7.4e-05       1.005635      -0.072084        2.8e-05          7e-06        7.4e-05 
      70              0  -0.9604912687   0.2254033308              1       0.999536       0.031371          4e-06              0          7e-06       0.999536      -0.031371          4e-06             -0          7e-06 
      71              0   0.9604912687   0.2254033308              1       1.002557       0.048611          1e-06         -1e-06          5e-06       1.002557      -0.048611          1e-06          1e-06          5e-06 
      72              0  -0.9604912687    1.774596669              1       1.000223        0.03009          2e-05          7e-06        9.5e-05       1.000223       -0.03009          2e-05         -7e-06        9.5e-05 
      73              0   0.9604912687    1.774596669              1       1.004152       0.047074        1.9e-05         -5e-06          3e-05       1.004152      -0.047074        1.9e-05          5e-06          3e-05 
      74              0  -0.4342437493              1    1.774596669       0.989423       0.068356        5.9e-05       -1.5e-05        0.00014       0.989423      -0.068356        5.9e-05        1.5e-05        0.00014 
      75              0   0.4342437493              1    1.774596669       0.996783       0.071012        1.8e-05       -1.8e-05        8.3e-05       0.996783      -0.071012        1.8e-05        1.8e-05        8.3e-05 
      76              0  -0.4342437493              1   0.2254033308        0.99782        0.07388          7e-06          1e-06          1e-05        0.99782       -0.07388          7e-06         -1e-06          1e-05 
      77              0   0.4342437493              1   0.2254033308        1.00303       0.072005          7e-06         -2e-06          3e-06        1.00303      -0.072005          7e-06          2e-06          3e-06 
      78              0  -0.9604912687              1    1.774596669       0.999003       0.030607        1.6e-05             -0        7.5e-05       0.999003      -0.030607        1.6e-05              0        7.5e-05 
      79              0   0.9604912687              1    1.774596669       1.001902       0.048779          9e-06         -6e-06        3.8e-05       1.001902      -0.048779          9e-06          6e-06        3.8e-05 
      80              0  -0.9604912687              1   0.2254033308       1.000138       0.031211          4e-06          1e-06        1.1e-05       1.000138      -0.031211          4e-06         -1e-06        1.1e-05 
      81              0   0.9604912687              1   0.2254033308       1.003524       0.047839          5e-06         -1e-06          2e-06       1.003524      -0.047839          5e-06          1e-06          2e-06 
      82   0.7745966692  -0.7745966692   0.2254033308              1       1.000289       0.024536          4e-06         -2e-06          7e-06       1.000289      -0.024536          4e-06          2e-06          7e-06 
      83  -0.7745966692  -0.7745966692   0.2254033308              1       0.993716       0.057411        1.6e-05          4e-06          2e-05       0.993716      -0.057411        1.6e-05         -4e-06          2e-05 
      84   0.7745966692   0.7745966692   0.2254033308              1        0.98979       0.063981          9e-06         -5e-06          7e-06        0.98979      -0.063981          9e-06          5e-06          7e-06 
      85  -0.7745966692   0.7745966692   0.2254033308              1       1.005639       0.040986          1e-06              0          5e-06       1.005639      -0.040986          1e-06             -0          5e-06 
      86   0.7745966692  -0.7745966692    1.774596669              1       0.999876       0.024439          1e-05          1e-06          6e-05       0.999876      -0.024439          1e-05         -1e-06          6e-05 
      87  -0.7745966692  -0.7745966692    1.774596669              1       1.014379       0.064784        9.3e-05          2e-05       0.000147       1.014379      -0.064784        9.3e-05         -2e-05       0.000147 
      88   0.7745966692   0.7745966692    1.774596669              1       1.007587       0.064464        7.3e-05         -8e-06        6.3e-05       1.007587      -0.064464        7.3e-05          8e-06        6.3e-05 
      89  -0.7745966692   0.7745966692    1.774596669              1       1.005192       0.040678          9e-06         -2e-06        2.4e-05       1.005192      -0.040678          9e-06          2e-06        2.4e-05 
      90   0.4342437493              0   0.2254033308              1       0.984862       0.081603        1.4e-05         -6e-06        1.2e-05       0.984862      -0.081603        1.4e-05          6e-06        1.2e-05 
      91  -0.4342437493              0   0.2254033308              1       1.000784       0.081369          2e-06         -3e-06        1.5e-05       1.000784      -0.081369          2e-06          3e-06        1.5e-05 
      92   0.4342437493              0    1.774596669              1        1.00455       0.093177        7.7e-05        2.4e-05        0.00018        1.00455      -0.093177        7.7e-05       -2.4e-05        0.00018 
      93  -0.4342437493              0    1.774596669              1       1.009977       0.088082        2.6e-05         -6e-06       0.000134       1.009977      -0.088082        2.6e-05          6e-06       0.000134 
      94   0.9604912687              0   0.2254033308              1       0.991004       0.053724          1e-05         -5e-06          1e-05       0.991004      -0.053724          1e-05          5e-06          1e-05 
      95  -0.9604912687              0   0.2254033308              1       1.005706       0.057456          1e-06          1e-06        1.2e-05       1.005706      -0.057456          1e-06         -1e-06        1.2e-05 
      96   0.9604912687              0    1.774596669              1       0.998139       0.060073        2.4e-05          1e-06        9.4e-05       0.998139      -0.060073        2.4e-05         -1e-06        9.4e-05 
      97  -0.9604912687              0    1.774596669              1       1.007652       0.061556          7e-06         -4e-06        6.9e-05       1.007652      -0.061556          7e-06          4e-06        6.9e-05 
      98   0.4342437493  -0.7745966692              1              1       0.999595       0.030973          6e-06         -1e-06        2.4e-05       0.999595      -0.030973          6e-06          1e-06        2.4e-05 
      99  -0.4342437493  -0.7745966692              1              1       0.998322       0.054391        1.7e-05          1e-06        4.7e-05       0.998322      -0.054391        1.7e-05         -1e-06        4.7e-05 
     100   0.4342437493   0.7745966692              1              1       0.998795       0.061927        1.2e-05         -5e-06          2e-05       0.998795      -0.061927        1.2e-05          5e-06          2e-05 
     101  -0.4342437493   0.7745966692              1              1       1.004754       0.046299          4e-06         -1e-06        1.2e-05       1.004754      -0.046299          4e-06          1e-06        1.2e-05 
     102   0.9604912687  -0.7745966692              1              1       1.000464       0.021595          5e-06         -3e-06          2e-05       1.000464      -0.021595          5e-06          3e-06          2e-05 
     103   0.9604912687   0.7745966692              1              1       0.992855       0.063715        1.9e-05         -7e-06        2.2e-05       0.992855      -0.063715        1.9e-05          7e-06        2.2e-05 
     104  -0.9604912687  -0.7745966692              1              1       1.000197       0.059667        2.3e-05          2e-06        5.3e-05       1.000197      -0.059667        2.3e-05         -2e-06        5.3e-05 
     105  -0.9604912687   0.7745966692              1              1       1.005714       0.038251          3e-06             -0          9e-06       1.005714      -0.038251          3e-06              0          9e-06 
     106   0.2233866864              0              1              1       0.990874       0.095787        2.2e-05       -1.1e-05        5.7e-05       0.990874      -0.095787        2.2e-05        1.1e-05        5.7e-05 
     107  -0.2233866864              0              1              1        0.99986       0.093767        1.2e-05         -1e-05        5.3e-05        0.99986      -0.093767        1.2e-05          1e-05        5.3e-05 
     108   0.6211029467              0              1              1        0.99045       0.073252        1.7e-05         -8e-06        4.3e-05        0.99045      -0.073252        1.7e-05          8e-06        4.3e-05 
     109  -0.6211029467              0              1              1       1.005024       0.073254          4e-06         -4e-06        3.7e-05       1.005024      -0.073254          4e-06          4e-06        3.7e-05 
     110   0.8884592329              0              1              1       0.992317       0.058709        1.3e-05         -7e-06        3.3e-05       0.992317      -0.058709        1.3e-05          7e-06        3.3e-05 
     111  -0.8884592329              0              1              1       1.006118       0.061248          3e-06         -2e-06        2.9e-05       1.006118      -0.061248          3e-06          2e-06        2.9e-05 
     112   0.9938319632              0              1              1       0.993066        0.05391        1.2e-05         -6e-06          3e-05       0.993066       -0.05391        1.2e-05          6e-06          3e-05 
     113  -0.9938319632              0              1              1       1.006292       0.057307          2e-06         -1e-06        2.6e-05       1.006292      -0.057307          2e-06          1e-06        2.6e-05 
     114   0.7745966692  -0.7745966692              1    1.774596669       1.000213       0.023421        1.5e-05         -6e-06        5.9e-05       1.000213      -0.023421        1.5e-05          6e-06        5.9e-05 
     115  -0.7745966692  -0.7745966692              1    1.774596669       0.985689       0.051152       0.000124        5.1e-05       0.000199       0.985689      -0.051152       0.000124       -5.1e-05       0.000199 
     116   0.7745966692   0.7745966692              1    1.774596669       0.982965       0.062487          6e-05       -2.1e-05        5.8e-05       0.982965      -0.062487          6e-05        2.1e-05        5.8e-05 
     117  -0.7745966692   0.7745966692              1    1.774596669       1.005785       0.040682          5e-06              0          3e-05       1.005785      -0.040682          5e-06             -0          3e-05 
     118   0.7745966692  -0.7745966692              1   0.2254033308       1.000149       0.024946          2e-06              0          6e-06       1.000149      -0.024946          2e-06             -0          6e-06 
     119  -0.7745966692  -0.7745966692              1   0.2254033308       1.005322       0.062728        1.1e-05          1e-06        1.2e-05       1.005322      -0.062728        1.1e-05         -1e-06        1.2e-05 
     120   0.7745966692   0.7745966692              1   0.2254033308       1.000017       0.064861        1.1e-05         -2e-06          2e-06       1.000017      -0.064861        1.1e-05          2e-06          2e-06 
     121  -0.7745966692   0.7745966692              1   0.2254033308       1.005356       0.040968          3e-06             -0          2e-06       1.005356      -0.040968          3e-06              0          2e-06 
     122   0.4342437493              0              1    1.774596669       0.978307       0.077235        9.7e-05       -2.7e-05       0.000122       0.978307      -0.077235        9.7e-05        2.7e-05       0.000122 
     123  -0.4342437493              0              1    1.774596669       0.997572        0.07878        2.1e-05         -2e-05       0.000123       0.997572       -0.07878        2.1e-05          2e-05       0.000123 
     124   0.4342437493              0              1   0.2254033308        0.99544       0.088195          8e-06              0          7e-06        0.99544      -0.088195          8e-06             -0          7e-06 
     125  -0.4342437493              0              1   0.2254033308       1.005985       0.085315          5e-06         -2e-06          5e-06       1.005985      -0.085315          5e-06          2e-06          5e-06 
     126   0.9604912687              0              1    1.774596669        0.98868       0.051241        4.8e-05       -2.2e-05        7.4e-05        0.98868      -0.051241        4.8e-05        2.2e-05        7.4e-05 
     127  -0.9604912687              0              1    1.774596669       1.005019        0.05563          7e-06         -1e-06        7.3e-05       1.005019       -0.05563          7e-06          1e-06        7.3e-05 
     128   0.9604912687              0              1   0.2254033308       0.994973       0.057416          3e-06              0          5e-06       0.994973      -0.057416          3e-06             -0          5e-06 
     129  -0.9604912687              0              1   0.2254033308       1.006828        0.06001          2e-06         -1e-06          4e-06       1.006828       -0.06001          2e-06          1e-06          4e-06 
     130   0.4342437493  -0.4342437493              1              1       0.996425       0.051009        1.1e-05         -2e-06        3.4e-05       0.996425      -0.051009        1.1e-05          2e-06        3.4e-05 
     131  -0.4342437493  -0.4342437493              1              1       0.998144       0.085939        2.4e-05         -5e-06        6.5e-05       0.998144      -0.085939        2.4e-05          5e-06        6.5e-05 
     132   0.4342437493   0.4342437493              1              1       0.994294       0.079836        1.7e-05         -8e-06        3.4e-05       0.994294      -0.079836        1.7e-05          8e-06        3.4e-05 
     133  -0.4342437493   0.4342437493              1              1        1.00479       0.058229          5e-06         -2e-06        2.1e-05        1.00479      -0.058229          5e-06          2e-06        2.1e-05 
     134   0.4342437493  -0.9604912687              1              1       1.000525       0.023165          5e-06         -1e-06        2.3e-05       1.000525      -0.023165          5e-06          1e-06        2.3e-05 
     135   0.9604912687  -0.4342437493              1              1       0.998282       0.034035          7e-06         -3e-06        2.2e-05       0.998282      -0.034035          7e-06          3e-06        2.2e-05 
     136  -0.4342437493  -0.9604912687              1              1       0.999118       0.040236        1.3e-05          2e-06        3.9e-05       0.999118      -0.040236        1.3e-05         -2e-06        3.9e-05 
     137   0.9604912687   0.4342437493              1              1        0.98935       0.069366          2e-05         -9e-06          3e-05        0.98935      -0.069366          2e-05          9e-06          3e-05 
     138  -0.9604912687  -0.4342437493              1              1       1.003722       0.070162          1e-05         -2e-06        4.8e-05       1.003722      -0.070162          1e-05          2e-06        4.8e-05 
     139   0.4342437493   0.9604912687              1              1       1.000116       0.054319          1e-05         -4e-06        1.6e-05       1.000116      -0.054319          1e-05          4e-06        1.6e-05 
     140  -0.9604912687   0.4342437493              1              1       1.006107       0.045284          3e-06             -0        1.4e-05       1.006107      -0.045284          3e-06              0        1.4e-05 
     141  -0.4342437493   0.9604912687              1              1       1.004665       0.041752          4e-06         -1e-06          1e-05       1.004665      -0.041752          4e-06          1e-06          1e-05 
     142   0.9604912687  -0.9604912687              1              1       1.001054       0.015907          5e-06         -1e-06        2.5e-05       1.001054      -0.015907          5e-06          1e-06        2.5e-05 
     143  -0.9604912687  -0.9604912687              1              1       0.999372       0.048135        2.2e-05          4e-06          5e-05       0.999372      -0.048135        2.2e-05         -4e-06          5e-05 
